product_id,product_name,category,cost,msrp,launch_date,discontinued
P001,Aurora Mug,Kitchen,4.10,12.99,2025-08-15,false
P002,Borealis Bottle,Outdoors,7.80,24.99,2025-04-02,false
P003,Cedar Soap,Personal Care,1.20,5.49,2024-12-10,false
P004,Dune Notebook,Stationery,2.00,8.99,2025-01-20,false
P005,Ember Candle,Home,3.50,14.99,2025-09-05,false
P006,Fjord Tea,Food,3.10,11.99,2024-10-01,false
P007,Grove Tote,Apparel,5.60,19.99,2025-03-12,false
P008,Halo Headphones,Electronics,18.00,49.99,2025-07-07,false
P009,Ivy Planter,Home,4.40,16.99,2025-02-28,false
P010,Juno Charger,Electronics,6.50,21.99,2025-05-30,false
P011,Kite Socks,Apparel,2.20,9.99,2024-11-18,false
P012,Lumen Lamp,Home,12.00,39.99,2025-06-10,false
P013,Moss Granola,Food,2.80,10.49,2025-01-05,false
P014,Nova Pen,Stationery,0.70,3.49,2024-09-22,false
P015,Orchard Jam,Food,2.40,8.99,2025-08-01,false
